"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","is_interneruon_marker"
"Map2k4",1.70998086609902e-22,2.35673799660778,0.157,0.015,4.86421157170527e-18,"12","Map2k4","N/A"
"Dlgap1",5.00780994546138e-26,2.35443026748148,0.222,0.027,1.42452161708595e-21,"12","Dlgap1","N/A"
"Snrpn",1.51287275924849e-48,2.3472474999486,0.333,0.032,4.30351785095826e-44,"12","Snrpn","N/A"
"Clstn1",1.69732641055359e-23,2.34285817306112,0.212,0.028,4.82821470746073e-19,"12","Clstn1","N/A"
"Gng3",2.79773724613616e-24,2.32383071617172,0.167,0.015,7.95844337035893e-20,"12","Gng3","N/A"
"Gprasp1",2.20373736725144e-25,2.3108937448525,0.187,0.018,6.26875131488344e-21,"12","Gprasp1","N/A"
"Gpcpd1",5.13291629526365e-11,2.30286875032559,0.101,0.014,1.4601093693507e-06,"12","Gpcpd1","N/A"
"Pja2",7.14831453106592e-41,2.29725588744914,0.308,0.033,2.03340955150701e-36,"12","Pja2","N/A"
"Rtn1.1",5.5090646054766e-42,2.28750315619384,0.338,0.041,1.56710851767387e-37,"12","Rtn1","N/A"
"Ttc3.1",1.58169313600816e-50,2.28408558198911,0.414,0.052,4.49928429468882e-46,"12","Ttc3","N/A"
"Napb",4.01993758065585e-41,2.27619720601768,0.207,0.01,1.14351144419336e-36,"12","Napb","N/A"
"Ap1s2",4.38284380724289e-12,2.26724783571079,0.101,0.012,1.24674374940831e-07,"12","Ap1s2","N/A"
"Vamp2",5.2356373681721e-21,2.26391545285265,0.162,0.018,1.48932940575023e-16,"12","Vamp2","N/A"
"Ncald",1.17338338553399e-31,2.26270094043169,0.268,0.033,3.33780637848998e-27,"12","Ncald","N/A"
"Prkce",3.12319302553621e-20,2.25907826284142,0.146,0.014,8.88423488044031e-16,"12","Prkce","N/A"
"Snap47",1.03212726609338e-30,2.25607331473771,0.242,0.027,2.93598922112922e-26,"12","Snap47","N/A"
"Cck",1.15452129370575e-19,2.24703148496657,0.167,0.02,3.28415127207538e-15,"12","Cck","Interneuron Marker"
"Prkar1b",1.66977555979579e-26,2.22925710223895,0.182,0.017,4.74984355739512e-22,"12","Prkar1b","N/A"
"Tuba4a",6.68710530704847e-27,2.2228521969308,0.177,0.016,1.90221397564301e-22,"12","Tuba4a","N/A"
"Srgap3",2.86595976082153e-14,2.22097671865919,0.106,0.011,8.15250913563292e-10,"12","Srgap3","N/A"
"Rab6b",1.3318681650934e-34,2.21086697714978,0.273,0.032,3.78863218242469e-30,"12","Rab6b","N/A"
"Nefl",2.94133119375552e-25,2.19375828503718,0.177,0.017,8.36691071375695e-21,"12","Nefl","N/A"
"Synj1",6.1751011449083e-22,2.19217848041645,0.172,0.019,1.75656927168061e-17,"12","Synj1","N/A"
